Timestamp_UTC,Timestamp_Readable,Frame Delay (s),FPS,Accuracy
1747516942.8640854,2025-05-18 03:22:22.864,0.028234,35.42,0.8699
1747516942.9484549,2025-05-18 03:22:22.948,0.084369,11.85,0.8644
1747516942.9596438,2025-05-18 03:22:22.959,0.011189,89.37,0.8644
1747516942.982002,2025-05-18 03:22:22.982,0.022358,44.73,0.8730
1747516943.0103528,2025-05-18 03:22:23.010,0.028351,35.27,0.8689
1747516943.0417106,2025-05-18 03:22:23.041,0.031358,31.89,0.8544
1747516943.080274,2025-05-18 03:22:23.080,0.038563,25.93,0.7944
1747516943.1052518,2025-05-18 03:22:23.105,0.024978,40.04,0.8208
1747516943.1356997,2025-05-18 03:22:23.135,0.030448,32.84,0.7984
1747516943.1742108,2025-05-18 03:22:23.174,0.038511,25.97,0.7450
1747516943.2003055,2025-05-18 03:22:23.200,0.026095,38.32,0.6910
1747516943.2368016,2025-05-18 03:22:23.236,0.036496,27.40,0.6174
1747516943.2658064,2025-05-18 03:22:23.265,0.029005,34.48,0.7427
1747516943.316812,2025-05-18 03:22:23.316,0.051006,19.61,0.7669
1747516943.348578,2025-05-18 03:22:23.348,0.031766,31.48,0.7307
1747516943.3779685,2025-05-18 03:22:23.377,0.029391,34.02,0.7952
1747516943.4119785,2025-05-18 03:22:23.411,0.034010,29.40,0.7275
1747516943.4406843,2025-05-18 03:22:23.440,0.028706,34.84,0.8627
1747516943.4769106,2025-05-18 03:22:23.476,0.036226,27.60,0.7976
1747516943.5073903,2025-05-18 03:22:23.507,0.030480,32.81,0.8547
1747516943.5380123,2025-05-18 03:22:23.538,0.030622,32.66,0.8457
1747516943.5718205,2025-05-18 03:22:23.571,0.033808,29.58,0.8446
1747516943.6007757,2025-05-18 03:22:23.600,0.028955,34.54,0.8044
1747516943.6800263,2025-05-18 03:22:23.680,0.079251,12.62,0.8661
1747516943.689961,2025-05-18 03:22:23.689,0.009935,100.66,0.8661
1747516943.7481694,2025-05-18 03:22:23.748,0.058208,17.18,0.8420
1747516943.7578428,2025-05-18 03:22:23.757,0.009673,103.38,0.8420
1747516943.8124704,2025-05-18 03:22:23.812,0.054628,18.31,0.8505
1747516943.8224442,2025-05-18 03:22:23.822,0.009974,100.26,0.8505
